year_quarter,station_id,unique_bikes,total_trips,trips_per_bike
2022Q4,3000,3,4,1.3333333333333333
2022Q4,3004,750,1129,1.5053333333333334
2022Q4,3005,545,716,1.3137614678899083
2022Q4,3006,954,1839,1.9276729559748427
2022Q4,3007,1318,2883,2.1874051593323216
2022Q4,3008,394,544,1.380710659898477
2022Q4,3009,957,1607,1.6792058516196446
2022Q4,3010,1402,3537,2.522824536376605
2022Q4,3012,1208,2600,2.152317880794702
2022Q4,3014,455,571,1.254945054945055
2022Q4,3015,588,792,1.346938775510204
2022Q4,3016,184,224,1.2173913043478262
2022Q4,3017,400,568,1.42
2022Q4,3018,944,1528,1.61864406779661
2022Q4,3019,354,424,1.1977401129943503
2022Q4,3020,1243,2480,1.995172968624296
2022Q4,3021,1221,2349,1.923832923832924
2022Q4,3022,1116,2122,1.9014336917562724
2022Q4,3024,463,588,1.2699784017278617
2022Q4,3025,779,1200,1.5404364569961488
2022Q4,3026,978,1715,1.7535787321063394
2022Q4,3028,1247,2789,2.2365677626303127
2022Q4,3029,1155,2237,1.9367965367965367
2022Q4,3030,1045,1890,1.8086124401913874
2022Q4,3031,552,798,1.4456521739130435
2022Q4,3032,1349,3094,2.2935507783543367
2022Q4,3033,1039,1806,1.7382098171318576
2022Q4,3034,1034,1852,1.7911025145067698
2022Q4,3035,740,1344,1.8162162162162163
2022Q4,3037,966,1565,1.6200828157349896
2022Q4,3038,1140,2054,1.8017543859649123
2022Q4,3039,701,1053,1.5021398002853068
2022Q4,3040,1060,1898,1.790566037735849
2022Q4,3041,639,907,1.4194053208137716
2022Q4,3043,836,1474,1.763157894736842
2022Q4,3045,1310,2904,2.216793893129771
2022Q4,3046,1150,2179,1.894782608695652
2022Q4,3047,842,1255,1.490498812351544
2022Q4,3049,549,773,1.4080145719489983
2022Q4,3050,903,1488,1.6478405315614617
2022Q4,3051,882,1491,1.6904761904761905
2022Q4,3052,1279,2869,2.2431587177482406
2022Q4,3053,755,1105,1.4635761589403973
2022Q4,3054,1302,2976,2.2857142857142856
2022Q4,3055,949,1544,1.6269757639620652
2022Q4,3056,541,806,1.489833641404806
2022Q4,3057,845,1399,1.655621301775148
2022Q4,3058,1001,1758,1.7562437562437563
2022Q4,3059,928,1507,1.6239224137931034
2022Q4,3060,383,505,1.318537859007833
2022Q4,3061,907,1433,1.579933847850055
2022Q4,3062,496,639,1.2883064516129032
2022Q4,3063,1150,2186,1.9008695652173913
2022Q4,3064,1069,1981,1.853133769878391
2022Q4,3065,343,428,1.2478134110787171
2022Q4,3066,1229,2592,2.1090317331163546
2022Q4,3067,296,415,1.402027027027027
2022Q4,3068,857,1364,1.5915985997666278
2022Q4,3069,846,1351,1.5969267139479906
2022Q4,3070,353,451,1.2776203966005666
2022Q4,3071,508,706,1.389763779527559
2022Q4,3072,603,875,1.451077943615257
2022Q4,3073,713,1039,1.4572230014025245
2022Q4,3074,690,1073,1.555072463768116
2022Q4,3075,880,1394,1.584090909090909
2022Q4,3077,431,609,1.4129930394431554
2022Q4,3078,953,1526,1.6012591815320043
2022Q4,3086,659,910,1.3808801213960546
2022Q4,3088,624,999,1.6009615384615385
2022Q4,3093,76,100,1.3157894736842106
2022Q4,3096,43,53,1.2325581395348837
2022Q4,3097,395,544,1.3772151898734177
2022Q4,3098,726,1077,1.4834710743801653
2022Q4,3099,529,780,1.4744801512287335
2022Q4,3100,1019,1863,1.8282630029440627
2022Q4,3101,1240,2626,2.117741935483871
2022Q4,3102,1213,2644,2.179719703215169
2022Q4,3104,359,472,1.3147632311977715
2022Q4,3106,128,152,1.1875
2022Q4,3107,269,330,1.2267657992565055
2022Q4,3110,486,698,1.4362139917695473
2022Q4,3111,94,116,1.2340425531914894
2022Q4,3112,529,846,1.5992438563327032
2022Q4,3113,159,180,1.1320754716981132
2022Q4,3114,974,1708,1.7535934291581108
2022Q4,3115,349,445,1.2750716332378222
2022Q4,3116,705,1010,1.4326241134751774
2022Q4,3117,122,162,1.3278688524590163
2022Q4,3118,455,644,1.4153846153846155
2022Q4,3119,261,361,1.3831417624521072
2022Q4,3120,756,1241,1.6415343915343916
2022Q4,3123,308,411,1.3344155844155845
2022Q4,3124,478,676,1.4142259414225942
2022Q4,3125,963,1599,1.6604361370716512
2022Q4,3150,557,780,1.4003590664272891
2022Q4,3152,384,486,1.265625
2022Q4,3153,275,373,1.3563636363636364
2022Q4,3154,1160,2260,1.9482758620689655
2022Q4,3155,906,1581,1.7450331125827814
2022Q4,3156,832,1265,1.5204326923076923
2022Q4,3157,719,1051,1.4617524339360222
2022Q4,3158,744,1138,1.5295698924731183
2022Q4,3159,906,1578,1.7417218543046358
2022Q4,3160,898,1538,1.712694877505568
2022Q4,3161,1047,1784,1.7039159503342884
2022Q4,3162,564,823,1.4592198581560283
2022Q4,3163,878,1525,1.7369020501138952
2022Q4,3164,790,1184,1.4987341772151899
2022Q4,3165,624,950,1.5224358974358974
2022Q4,3166,472,616,1.305084745762712
2022Q4,3167,919,1569,1.7072905331882482
2022Q4,3168,1327,2937,2.2132629992464206
2022Q4,3169,684,979,1.4312865497076024
2022Q4,3170,709,986,1.3906911142454161
2022Q4,3181,81,117,1.4444444444444444
2022Q4,3182,905,1497,1.6541436464088397
2022Q4,3183,90,138,1.5333333333333334
2022Q4,3184,268,312,1.164179104477612
2022Q4,3185,1223,2432,1.9885527391659852
2022Q4,3187,577,779,1.3500866551126516
2022Q4,3188,360,498,1.3833333333333333
2022Q4,3190,1394,3401,2.4397417503586802
2022Q4,3196,114,185,1.6228070175438596
2022Q4,3197,502,676,1.346613545816733
2022Q4,3200,387,516,1.3333333333333333
2022Q4,3201,821,1270,1.5468940316686968
2022Q4,3202,267,362,1.3558052434456929
2022Q4,3203,1041,2039,1.9586935638808838
2022Q4,3204,796,1249,1.5690954773869348
2022Q4,3205,863,1320,1.52954808806489
2022Q4,3206,674,1004,1.489614243323442
2022Q4,3207,1088,1938,1.78125
2022Q4,3208,1287,2701,2.098679098679099
2022Q4,3209,548,722,1.3175182481751824
2022Q4,3210,413,742,1.7966101694915255
2022Q4,3211,414,587,1.4178743961352658
2022Q4,3212,806,1563,1.9392059553349876
2022Q4,3226,141,175,1.2411347517730495
2022Q4,3233,401,483,1.2044887780548628
2022Q4,3234,618,863,1.396440129449838
2022Q4,3235,628,902,1.4363057324840764
2022Q4,3236,594,871,1.4663299663299663
2022Q4,3237,288,371,1.2881944444444444
2022Q4,3238,1052,1838,1.747148288973384
2022Q4,3240,78,115,1.4743589743589745
2022Q4,3241,353,513,1.453257790368272
2022Q4,3243,116,210,1.8103448275862069
2022Q4,3244,1125,2205,1.96
2022Q4,3245,709,1165,1.6431593794076165
2022Q4,3246,358,484,1.3519553072625698
2022Q4,3247,62,75,1.2096774193548387
2022Q4,3248,678,988,1.4572271386430677
2022Q4,3249,624,991,1.5881410256410255
2022Q4,3250,338,427,1.2633136094674555
2022Q4,3251,163,198,1.2147239263803682
2022Q4,3252,528,784,1.4848484848484849
2022Q4,3253,200,245,1.225
2022Q4,3254,296,471,1.5912162162162162
2022Q4,3255,1074,1897,1.766294227188082
