year_quarter,system_unique_bikes,system_total_trips,system_trips_per_bike
2022Q4,1840,206988,112.49347826086957
2020Q1,1427,118190,82.82410651716889
2018Q4,1406,142872,101.61593172119488
2021Q4,1451,222955,153.65609924190213
2020Q2,1520,186586,122.75394736842105
2020Q3,1413,269985,191.07218683651806
2022Q2,1516,257350,169.75593667546175
2018Q3,1379,228329,165.57577955039883
2018Q2,1199,201624,168.1601334445371
2022Q3,1782,312379,175.29685746352413
2022Q1,1406,129073,91.80156472261736
2020Q4,1303,160401,123.10130468150422
2018Q1,1187,98993,83.39764111204718
2024Q4,2139,299121,139.8415147265077
2024Q1,2350,193770,82.45531914893617
2017Q4,1198,183909,153.51335559265442
2024Q3,2449,408408,166.76521028991425
2024Q2,2415,368091,152.41863354037267
2021Q3,1559,300432,192.7081462475946
2021Q2,1428,232195,162.6015406162465
2017Q3,1222,276785,226.50163666121114
2019Q4,1431,166116,116.083857442348
2023Q4,2114,272539,128.92100283822137
2021Q1,1318,96281,73.05083459787556
2019Q1,1393,96593,69.34170854271356
2023Q3,2148,353256,164.45810055865923
2023Q1,1986,166858,84.0171198388721
2019Q2,1487,206354,138.77202420981843
2023Q2,2156,291894,135.38682745825602
2019Q3,1530,275197,179.8673202614379
2017Q2,1127,220441,195.59982253771074
